id_ville,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
32429,80,beaucamps-le-vieux,BEAUCAMPS-LE-VIEUX,"beaucamps le vieux",Beaucamps-le-Vieux,B2512412,BKMPSLFKS,80430,062,80062,2,25,6,1437,1385,1500,286,5.02,1.78333,49.8333,-619,55383,+14645,495039,127,201
32433,80,pont-de-metz,PONT-DE-METZ,"pont de metz",Pont-de-Metz,P53532,PNTTMTS,80480,632,80632,2,44,6,2195,1659,2000,285,7.69,2.25,49.8833,-105,55422,+21431,495248,22,85
32460,80,nesle,NESLE,nesle,Nesle,N240,NSL,80190,585,80585,4,30,5,2501,2451,2500,323,7.72,2.91667,49.7667,637,55287,+25436,494529,57,82
32461,80,montdidier-80,MONTDIDIER,montdidier,Montdidier,M360,MNTTTR,80500,561,80561,3,27,4,6119,6333,6000,486,12.58,2.56667,49.65,259,55165,+23412,493853,55,113
32472,80,gamaches,GAMACHES,gamaches,Gamaches,G520,KMXS,80220,373,80373,1,22,5,2817,2959,2800,283,9.92,1.55,49.9833,-866,55541,+13326,495912,19,126
32476,80,harbonnieres,HARBONNIERES,harbonnieres,Harbonnières,H61562,HRBNRS,80131,417,80417,3,37,6,1470,1305,1500,95,15.37,2.66667,49.85,370,55388,+24011,495056,60,94
32477,80,roye-80,ROYE,roye,Roye,R000,RY,80700,685,80685,3,38,5,6326,6528,6200,406,15.55,2.8,49.7,504,55222,+24725,494200,67,96
32486,80,hornoy-le-bourg,HORNOY-LE-BOURG,"hornoy le bourg",Hornoy-le-Bourg,H654162,HRNLBRK,80640,443,80443,2,25,5,1664,1449,1700,32,51.23,1.90139,49.8456,-484,55384,+15405,495044,68,201
32491,80,salouel,SALOUEL,salouel,Salouël,S400,SLL,80480,725,80725,2,13,6,4186,4160,4500,913,4.58,2.25,49.8667,-105,55411,+21432,495212,27,105
32515,80,abbeville,ABBEVILLE,abbeville,Abbeville,A140,ABFL,80132,001,80001,1,98,4,24155,24568,24100,914,26.42,1.83333,50.1,-557,55673,+15007,500619,2,76
32530,80,saleux,SALEUX,saleux,Saleux,S420,SLKS,80480,724,80724,2,13,6,2410,2502,2400,300,8.02,2.25,49.8667,-109,55398,+21417,495131,30,116
32531,80,conty,CONTY,conty,Conty,C530,KNT,80160,211,80211,2,17,5,1752,1658,1700,73,23.72,2.15,49.7333,-205,55267,+20906,494426,46,182
32536,80,boves,BOVES,boves,Boves,B200,BFS,80440,131,80131,2,13,5,2976,2800,2900,117,25.37,2.38333,49.85,60,55384,+22327,495044,22,110
32540,80,villers-bretonneux,VILLERS-BRETONNEUX,"villers bretonneux",Villers-Bretonneux,V46216352,FLRSBRTNKS,80380,799,80799,2,18,6,4187,3951,4200,288,14.51,2.51667,49.8667,204,55408,+23112,495201,45,107
